"x","y","h15ptot"
533850,156450,4
539850,153350,20
539850,153750,37
539850,160550,3
539850,151750,60
539850,152450,10
539950,152950,10
540050,152150,8
540150,153950,6
540250,151150,19
540350,155150,84
540350,153550,6
540350,152950,5
541550,151050,7
540650,162850,29
540650,163050,10
540650,150950,3
540750,154650,3
541150,151050,36
540750,150750,4
541250,151150,11
541850,156450,7
541850,152650,6
540450,152450,19
540850,165450,17
540550,155850,9
541450,167650,3
541450,155050,4
541750,154450,3
540650,152250,10
541050,154950,11
541050,150750,3
541050,156550,6
538250,154750,57
538250,155850,6
538350,154250,16
538350,153250,12
538350,155050,7
538450,152650,66
538450,155450,13
538450,157150,5
538550,165550,35
538250,154350,112
538550,159450,3
538550,156950,3
538650,160850,3
539450,154450,6
539450,170750,15
538850,163650,7
538950,158850,3
539150,152650,133
539150,150850,27
539650,151550,29
539650,151450,49
539650,152150,29
538750,157250,3
538750,158650,6
538950,163450,3
539150,155650,3
538750,166650,3
539250,151050,16
539250,154050,50
539250,171250,3
539550,150950,8
539050,152650,84
539350,153150,65
539050,160150,13
539350,159850,4
539350,153550,58
539650,163050,3
538250,151750,75
538350,158450,3
538250,158750,3
538250,165650,6
546750,167250,12
547350,156350,8
547750,166150,3
549950,147750,3
547850,149650,3
547850,158350,4
548650,160350,8
549350,148050,53
550150,152450,3
548750,149050,5
547950,165750,14
550250,156950,3
548850,154150,3
548850,150050,3
549650,154750,3
550450,168350,3
548950,148250,8
549050,150250,3
549750,153950,3
549150,148250,22
549150,161450,21
550550,166350,3
548450,155350,5
548450,147950,3
549850,166450,3
550250,158450,3
546950,155750,6
547450,154350,3
546950,155850,3
542150,151550,15
542150,150450,102
542350,150350,33
542550,151150,3
542850,150950,23
542250,152350,11
542250,152550,3
542350,156350,3
542850,160750,3
542950,151250,5
543050,150050,3
543050,171550,11
543050,157450,3
543150,155650,4
543150,152050,5
545750,155150,3
545850,166450,4
544350,150250,8
545150,150350,4
544450,155250,3
546150,149350,4
544450,149450,7
545250,150450,4
543750,149650,6
543750,155350,3
545350,150350,8
545350,150750,3
545950,162350,3
544650,149750,4
545350,149250,4
545450,169950,3
544750,151050,14
546450,169350,5
546450,160050,3
544050,155550,3
546250,152650,3
544150,151050,3
544950,150450,3
544950,151750,3
545050,149150,20
545050,170450,8
544250,168350,3
545050,149850,7
542750,150150,10
542750,151550,13
542050,154650,3
542250,160750,3
542450,152050,8
542750,156050,3
542750,164050,3
553850,146050,84
553650,170450,3
553950,156050,3
553950,154950,5
554050,162150,3
554050,164850,8
554850,145650,24
554850,151450,10
554250,147550,3
554250,147650,3
554350,145550,168
554550,146350,30
554350,154350,12
554650,145750,25
554350,148050,8
554950,164050,13
554650,164950,3
554150,164450,3
554450,165750,4
554250,171850,3
554450,148050,15
554750,164050,3
553850,146150,45
551250,147550,3
551850,162650,3
551050,158650,3
551050,168750,18
551750,169450,32
552250,166050,8
553350,166150,7
552650,146750,28
553050,147650,9
553050,152950,5
553450,153150,11
552750,157650,3
553550,156250,3
553550,170550,3
552450,161650,3
552450,165950,3
552850,158550,3
553150,166850,3
552950,146650,8
552950,151750,3
553250,157750,27
552950,148250,3
553250,147550,9
553250,146950,5
553250,153250,3
552650,146550,3
553450,149350,3
551450,169750,6
551450,157650,3
551450,163950,3
551750,162950,3
554950,153350,38
555050,158450,4
555050,145150,7
554950,158650,3
555050,153350,7
555050,155450,3
546750,149350,3
528750,168950,3
535950,157950,3
546350,163150,3
540750,172050,3
513750,148150,3
523450,153450,3
522950,164450,3
544650,150850,3
547250,155250,3
554850,153850,3
555050,170450,3
544250,154750,3
537950,157150,3
547050,150750,3
535350,167050,3
550850,168150,3
515250,146350,30
516350,148250,3
516350,146350,6
516450,152650,3
517350,148750,3
517350,147250,3
518150,156450,4
518450,156150,8
522950,157450,3
523250,154850,14
518650,161050,3
519850,171550,18
521750,152150,3
523350,164050,9
523350,155050,3
519950,149350,3
523950,147850,34
518850,161450,10
518850,156250,6
520450,156250,3
521950,147250,36
524250,157750,3
519050,149850,3
519150,151350,26
520550,150550,10
522050,162150,4
523350,149550,3
520950,165950,3
522150,152650,3
519350,149250,8
521050,156150,3
521150,146650,3
522250,152550,10
524350,171650,14
524350,148650,34
522450,159350,29
522450,168750,3
523550,153750,10
521350,148250,11
521350,152750,3
521350,152550,10
522550,159450,31
522550,147350,3
519550,149150,5
521450,164050,3
521550,163950,5
522750,159450,6
519650,152950,3
521550,148850,3
522750,156450,4
515050,152250,9
517150,148150,3
517150,148550,3
517350,159150,3
515150,168950,8
516050,157750,3
516250,157850,3
516250,148350,3
513050,151450,13
514750,145450,16
514750,167450,4
514850,147950,5
514850,147650,5
513250,145450,3
514950,152350,3
513450,151550,11
513550,151750,7
513550,166350,3
512150,142350,3
512450,145550,7
512650,143550,3
513650,147950,3
513650,168750,3
513750,169850,3
529850,162150,15
529950,162650,3
530050,167150,11
530150,167150,30
530150,171750,3
530150,163250,4
530150,162850,37
530150,167250,17
530250,151750,8
530250,169350,3
530250,151650,8
530450,151850,10
529950,153250,3
530250,153850,3
530550,158950,3
530650,167150,5
532550,156250,13
532550,152650,13
532050,155150,3
532650,151750,18
530750,160750,16
531150,153750,6
531150,153250,5
531250,154150,8
531250,154450,6
532150,155950,12
533050,157750,15
533050,153450,8
530850,166850,5
530850,151150,4
532250,155550,53
530850,166950,14
532350,151950,10
532350,151850,8
530950,159250,6
531450,151850,9
531650,163450,4
532750,157450,9
531850,155850,35
531850,151250,5
531950,151650,3
533150,160450,4
531050,164450,3
524850,155050,3
525250,160150,4
525850,150150,12
525850,153250,3
525950,150950,6
524950,151250,4
526450,166350,6
526450,153250,3
526650,153250,3
526850,158550,13
526850,151250,18
526950,151150,3
526950,161350,5
526950,158550,3
526950,151950,21
528950,152250,6
528950,169050,11
527950,153150,3
527950,152250,63
529050,156450,3
529050,152550,3
529150,155250,7
529250,168050,5
527250,160750,3
527250,167950,3
527350,152050,9
528150,152650,46
529050,168050,25
529050,157650,6
527550,152250,22
528350,162550,5
528850,159950,16
529150,168850,9
529150,153050,11
527650,151350,52
527650,165350,3
528850,162750,7
527750,162550,3
528450,163350,21
529150,169150,4
529150,171250,3
524450,148250,10
524550,166850,10
525050,157950,3
526150,156550,3
524650,166750,11
525250,149350,3
536250,156850,5
536550,159450,7
536350,153450,3
